year,tract_name,geo_id,english_only_population_5_and_over,white,total_population,asian,adults_25_to_64_with_bachelors_degree,median_age,total_households,foreign_born_population,population_5_and_over,median_household_income,owner_occupied_homes_median_value,below_poverty_line,black,hispanic,state,county,tract
2010,"Census Tract 4001, Alameda County, California",14000US06001400100,1978,2092,2701,268,1647,52.4,1329,413,2548,173472,1000001,103,87,2701,06,001,400100
2010,"Census Tract 4002, Alameda County, California",14000US06001400200,1589,1498,2050,213,1168,40.5,908,202,1871,95833,902400,62,72,2050,06,001,400200
2010,"Census Tract 4003, Alameda County, California",14000US06001400300,3806,3242,4719,277,3111,42.4,2515,635,4486,52314,740000,525,520,4719,06,001,400300
2010,"Census Tract 4004, Alameda County, California",14000US06001400400,3289,2710,3930,251,2606,36.2,1895,339,3661,79071,768000,305,357,3930,06,001,400400
2010,"Census Tract 4005, Alameda County, California",14000US06001400500,2609,1607,3506,172,2465,33.5,1628,424,3333,52076,592100,450,1106,3506,06,001,400500
2010,"Census Tract 4006, Alameda County, California",14000US06001400600,1405,568,1649,74,1069,35.3,701,132,1563,47792,553700,246,804,1649,06,001,400600
2010,"Census Tract 4007, Alameda County, California",14000US06001400700,3023,1400,3942,452,2336,36.3,1706,568,3664,38790,453500,494,1676,3942,06,001,400700
2010,"Census Tract 4008, Alameda County, California",14000US06001400800,2117,851,2664,358,1710,36.3,1400,452,2560,37143,537600,536,1013,2664,06,001,400800
2010,"Census Tract 4009, Alameda County, California",14000US06001400900,2261,971,2466,37,1441,34.7,1123,127,2321,50341,470500,237,1297,2466,06,001,400900
2010,"Census Tract 4010, Alameda County, California",14000US06001401000,4427,964,6481,882,3465,33,2358,1116,5986,41588,397700,2027,3727,6481,06,001,401000
2010,"Census Tract 4011, Alameda County, California",14000US06001401100,2559,1759,3738,493,2683,35.5,2014,768,3574,40539,526800,777,642,3738,06,001,401100
2010,"Census Tract 4012, Alameda County, California",14000US06001401200,1905,1657,2532,192,1862,39,1357,420,2323,68398,592300,208,399,2532,06,001,401200
2010,"Census Tract 4013, Alameda County, California",14000US06001401300,2000,803,3564,629,2225,35.3,1544,1233,3338,26897,363500,1229,1329,3564,06,001,401300
2010,"Census Tract 4014, Alameda County, California",14000US06001401400,1934,597,3468,559,1989,31.4,1354,1060,3230,24861,368800,918,1578,3468,06,001,401400
2010,"Census Tract 4015, Alameda County, California",14000US06001401500,1231,305,1703,117,1000,38.8,837,215,1505,26311,363200,481,1054,1703,06,001,401500
2010,"Census Tract 4016, Alameda County, California",14000US06001401600,1212,156,1913,353,984,33.6,807,438,1773,36820,419600,353,1146,1913,06,001,401600
2010,"Census Tract 4017, Alameda County, California",14000US06001401700,1095,269,2023,221,1260,35.2,715,733,1899,48229,424200,492,697,2023,06,001,401700
2010,"Census Tract 4018, Alameda County, California",14000US06001401800,1165,329,1380,46,631,26.3,519,114,1355,27520,406300,434,866,1380,06,001,401800
2010,"Census Tract 4022, Alameda County, California",14000US06001402200,1222,324,2313,134,1276,30.8,862,695,2104,28269,445200,690,910,2313,06,001,402200
2010,"Census Tract 4024, Alameda County, California",14000US06001402400,1572,317,2077,146,1122,43.2,1000,297,1964,22226,389300,593,1414,2077,06,001,402400
2010,"Census Tract 4025, Alameda County, California",14000US06001402500,1542,179,2031,153,1021,30.3,786,336,1844,27500,285200,681,1351,2031,06,001,402500
2010,"Census Tract 4026, Alameda County, California",14000US06001402600,333,126,1002,446,497,45.2,521,608,976,21792,407400,189,310,1002,06,001,402600
2010,"Census Tract 4027, Alameda County, California",14000US06001402700,991,64,1416,30,824,33.2,653,310,1393,33922,335900,328,1083,1416,06,001,402700
2010,"Census Tract 4028, Alameda County, California",14000US06001402800,1428,413,2137,391,1216,42.8,1330,576,1972,18013,335300,755,960,2137,06,001,402800
2010,"Census Tract 4029, Alameda County, California",14000US06001402900,445,192,1036,499,568,44,757,543,975,18706,,293,234,1036,06,001,402900
2010,"Census Tract 4030, Alameda County, California",14000US06001403000,371,95,2434,2096,1015,61.1,1241,1811,2402,17349,378100,485,64,2434,06,001,403000
2010,"Census Tract 4031, Alameda County, California",14000US06001403100,553,174,1184,648,764,39,539,502,1128,31719,433200,268,246,1184,06,001,403100
2010,"Census Tract 4033, Alameda County, California",14000US06001403300,1485,942,4194,2735,2924,38,2002,2477,4006,63913,426800,775,274,4194,06,001,403300
2010,"Census Tract 4034, Alameda County, California",14000US06001403400,2679,1782,4304,1164,2973,40.8,2982,1554,4155,45194,445600,563,769,4304,06,001,403400
2010,"Census Tract 4035.01, Alameda County, California",14000US06001403501,2120,1375,4340,1353,2656,34.6,2319,1645,4044,30235,447700,1167,976,4340,06,001,403501
2010,"Census Tract 4035.02, Alameda County, California",14000US06001403502,1563,875,2016,188,1563,33.8,1235,378,1987,61367,271800,173,541,2016,06,001,403502
2010,"Census Tract 4036, Alameda County, California",14000US06001403600,3017,1176,4816,723,3519,35.5,2697,1330,4472,56458,360200,290,1960,4816,06,001,403600
2010,"Census Tract 4037.01, Alameda County, California",14000US06001403701,1682,1169,2278,173,1629,38.5,1650,475,2166,55674,347400,343,610,2278,06,001,403701
2010,"Census Tract 4037.02, Alameda County, California",14000US06001403702,1455,1098,1915,165,1357,40,1157,300,1905,65083,472200,140,435,1915,06,001,403702
2010,"Census Tract 4038, Alameda County, California",14000US06001403800,2795,2188,3790,521,2633,36,1941,457,3619,75614,763700,229,288,3790,06,001,403800
2010,"Census Tract 4039, Alameda County, California",14000US06001403900,3280,2257,3804,351,2905,40.6,2245,416,3766,73528,460100,163,804,3804,06,001,403900
