name,rank,count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
SMITH,1,2376206,880.85,880.85,73.35,22.22,0.40,0.85,1.63,1.56
JOHNSON,2,1857160,688.44,1569.30,61.55,33.80,0.42,0.91,1.82,1.50
WILLIAMS,3,1534042,568.66,2137.96,48.52,46.72,0.37,0.78,2.01,1.60
BROWN,4,1380145,511.62,2649.58,60.71,34.54,0.41,0.83,1.86,1.64
JONES,5,1362755,505.17,3154.75,57.69,37.73,0.35,0.94,1.85,1.44
MILLER,6,1127803,418.07,3572.82,85.81,10.41,0.42,0.63,1.31,1.43
DAVIS,7,1072335,397.51,3970.33,64.73,30.77,0.40,0.79,1.73,1.58
GARCIA,8,858289,318.17,4288.50,6.17,0.49,1.43,0.58,0.51,90.81
RODRIGUEZ,9,804240,298.13,4586.62,5.52,0.54,0.58,0.24,0.41,92.70
WILSON,10,783051,290.27,4876.90,69.72,25.32,0.46,1.03,1.74,1.73
MARTINEZ,11,775072,287.32,5164.22,6.04,0.52,0.60,0.64,0.46,91.72
ANDERSON,12,762394,282.62,5446.83,77.60,18.06,0.48,0.70,1.59,1.58
TAYLOR,13,720370,267.04,5713.87,67.80,27.67,0.39,0.75,1.78,1.61
THOMAS,14,710696,263.45,5977.33,55.53,38.17,1.63,1.01,2.00,1.66
HERNANDEZ,15,706372,261.85,6239.18,4.55,0.38,0.65,0.27,0.35,93.81
MOORE,16,698671,259.00,6498.17,68.85,26.92,0.37,0.65,1.70,1.50
MARTIN,17,672711,249.37,6747.54,77.47,15.30,0.71,0.94,1.59,3.99
JACKSON,18,666125,246.93,6994.47,41.93,53.02,0.31,1.04,2.18,1.53
THOMPSON,19,644368,238.87,7233.34,72.48,22.53,0.44,1.15,1.78,1.62
WHITE,20,639515,237.07,7470.40,67.91,27.38,0.39,1.01,1.76,1.55
LOPEZ,21,621536,230.40,7700.81,5.85,0.61,1.04,0.47,0.52,91.51
LEE,22,605860,224.59,7925.40,40.09,17.41,37.83,1.03,2.30,1.34
GONZALEZ,23,597718,221.57,8146.97,4.76,0.37,0.38,0.18,0.33,93.99
HARRIS,24,593542,220.02,8366.99,53.88,41.63,0.36,0.65,2.02,1.45
CLARK,25,548369,203.28,8570.27,76.84,18.53,0.41,0.94,1.60,1.68
LEWIS,26,509930,189.03,8759.30,60.97,33.83,0.45,1.14,1.97,1.64
ROBINSON,27,503028,186.47,8945.77,51.34,44.10,0.37,0.51,1.99,1.68
WALKER,28,501307,185.83,9131.61,61.25,34.17,0.35,0.83,1.80,1.60
PEREZ,29,488521,181.09,9312.70,5.95,0.48,1.18,0.26,0.48,91.65
HALL,30,473568,175.55,9488.25,75.11,20.75,0.48,0.63,1.63,1.40
YOUNG,31,465948,172.73,9660.97,68.91,23.79,2.95,0.73,1.93,1.69
ALLEN,32,463368,171.77,9832.74,70.24,25.14,0.41,0.83,1.77,1.62
SANCHEZ,33,441242,163.57,9996.31,5.77,0.50,1.01,0.49,0.45,91.78
WRIGHT,34,440367,163.24,10159.55,68.30,27.36,0.40,0.66,1.75,1.52
KING,35,438986,162.73,10322.28,72.80,22.02,0.88,0.97,1.71,1.62
SCOTT,36,420091,155.73,10478.01,62.60,32.26,0.41,1.15,1.90,1.68
GREEN,37,413477,153.27,10631.29,59.33,36.23,0.34,0.61,1.78,1.71
BAKER,38,413351,153.23,10784.51,82.08,13.63,0.45,0.83,1.54,1.47
ADAMS,39,413086,153.13,10937.64,76.17,19.20,0.45,0.79,1.63,1.76
NELSON,40,412236,152.81,11090.46,80.29,14.93,0.51,1.09,1.49,1.68
HILL,41,411770,152.64,11243.10,66.83,28.42,0.42,0.91,1.78,1.64
RAMIREZ,42,388987,144.20,11387.30,4.40,0.29,0.97,0.27,0.40,93.67
CAMPBELL,43,371953,137.88,11525.18,76.47,19.13,0.43,0.65,1.67,1.65
MITCHELL,44,367433,136.21,11661.38,63.55,31.52,0.39,0.98,1.93,1.63
ROBERTS,45,366215,135.75,11797.14,79.56,15.86,0.47,0.85,1.67,1.58
CARTER,46,362548,134.40,11931.53,60.51,34.99,0.39,0.71,1.88,1.52
PHILLIPS,47,351848,130.43,12061.96,78.95,16.36,0.45,0.99,1.68,1.58
EVANS,48,342237,126.87,12188.83,70.65,25.05,0.40,0.68,1.67,1.55
TURNER,49,335663,124.43,12313.26,66.67,29.31,0.33,0.56,1.72,1.40
TORRES,50,325169,120.54,12433.80,6.05,0.58,1.42,0.26,0.53,91.16
PARKER,51,324246,120.20,12554.00,71.49,24.09,0.44,0.85,1.67,1.46
COLLINS,52,317848,117.83,12671.82,73.92,21.70,0.37,0.75,1.65,1.61
EDWARDS,53,317070,117.54,12789.36,65.16,30.21,0.40,0.75,1.84,1.63
STEWART,54,312899,115.99,12905.35,71.78,23.83,0.38,0.74,1.69,1.59
FLORES,55,312615,115.89,13021.23,5.57,0.47,2.15,0.43,0.54,90.84
MORRIS,56,311754,115.57,13136.80,75.92,19.29,0.43,0.93,1.70,1.73
NGUYEN,57,310125,114.96,13251.76,1.26,0.18,95.93,0.04,2.01,0.58
