Year,Entity Type,Entity Group,Entity Name,Department / Subdivision,Position,Elected Official,Judicial,Other Positions,Min Classification Salary,Max Classification Salary,Reported Base Wage,Regular Pay,Overtime Pay,Lump-Sum Pay,Other Pay,Total Wages,Defined Benefit Plan,Employees Retirement Cost Covered,Deferred Compensation Plan,Health Dental Vision,Total Retirement and Health Cost,Pension Formula,Entity URL,Entity Population,Last Updated,Entity County,Special District Activities
2009,City,,East Palo Alto,Building Services,Building Inspector,,,,63383,77043,0,,,,,0,,,,,0,2.5%@55,www.ci.east-palo-alto.ca.us,28281,10/21/2010,San Mateo,
2009,City,,East Palo Alto,Building Services,Building Inspector,,,,63383,77043,61020,,,,,61020,,,,,0,2.5%@55,www.ci.east-palo-alto.ca.us,28281,10/21/2010,San Mateo,
2009,City,,East Palo Alto,Building Services,Building Permit Tech.,,,,44927,54609,55075,,,,,55075,,,,,0,2.5%@55,www.ci.east-palo-alto.ca.us,28281,10/21/2010,San Mateo,
2009,City,,East Palo Alto,Building Services,Chief Building Official,,,,97899,118997,111675,,,,,111675,,,,,0,2.5%@55,www.ci.east-palo-alto.ca.us,28281,10/21/2010,San Mateo,
2009,City,,East Palo Alto,Building Services,Office Assistant,,,,41335,50243,32673,,,,,32673,,,,,0,2.5%@55,www.ci.east-palo-alto.ca.us,28281,10/21/2010,San Mateo,
2009,City,,East Palo Alto,Building Services,Temporary Structural Engineer,,,,187200,187200,31770,,,,,31770,,,,,0,2.5%@55,www.ci.east-palo-alto.ca.us,28281,10/21/2010,San Mateo,
2009,City,,East Palo Alto,City Attorney,City Attorney,,,,149875,182175,120218,,,,,120218,,,,,0,2.5%@55,www.ci.east-palo-alto.ca.us,28281,10/21/2010,San Mateo,
2009,City,,East Palo Alto,City Attorney,Deputy City Attorney,,,,83589,101603,92703,,,,,92703,,,,,0,2.5%@55,www.ci.east-palo-alto.ca.us,28281,10/21/2010,San Mateo,
2009,City,,East Palo Alto,City Attorney,Legal Secretary,,,,58358,70934,70579,,,,,70579,,,,,0,2.5%@55,www.ci.east-palo-alto.ca.us,28281,10/21/2010,San Mateo,
2009,City,,East Palo Alto,City Clerk,Deputy City Clerk,,,,57910,70390,86935,,,,,86935,,,,,0,2.5%@55,www.ci.east-palo-alto.ca.us,28281,10/21/2010,San Mateo,
2009,City,,East Palo Alto,City Council,City Council Member,,,,4440,4440,4440,,,,,4440,,,,,0,2.5%@55,www.ci.east-palo-alto.ca.us,28281,10/21/2010,San Mateo,
2009,City,,East Palo Alto,City Council,City Council Member,,,,4440,4440,4440,,,,,4440,,,,,0,2.5%@55,www.ci.east-palo-alto.ca.us,28281,10/21/2010,San Mateo,
2009,City,,East Palo Alto,City Council,City Council Member,,,,4440,4440,4440,,,,,4440,,,,,0,2.5%@55,www.ci.east-palo-alto.ca.us,28281,10/21/2010,San Mateo,
2009,City,,East Palo Alto,City Council,City Council Member,,,,4440,4440,4440,,,,,4440,,,,,0,2.5%@55,www.ci.east-palo-alto.ca.us,28281,10/21/2010,San Mateo,
2009,City,,East Palo Alto,City Council,City Council Member,,,,4440,4440,4440,,,,,4440,,,,,0,2.5%@55,www.ci.east-palo-alto.ca.us,28281,10/21/2010,San Mateo,
