Judge Identification Number,Judge Last Name,Judge First Name,Judge Middle Name,Suffix,Birth month,Birth day,Birth year,Place of Birth (City),Place of Birth (State),Death month,Death day,Death year,Place of Death (City),Place of Death (State),Gender,Race or Ethnicity,Judge Identification Number,Court Name,Court Type,President name,Party Affiliation of President,Renominating President name,Party Affiliation of Renominating President,Nomination Date Senate Executive Journal,ABA Rating,Recess Appointment date,Vice last name (predecessor),Vice first name (predecessor),Authorization legislation,Referral date (referral to Judicial Committee),Report number,Committee action,Committee action date,Hearings,Senate voice vote,Senate vote Ayes/Nays,Senate Vote Date (Confirmation Date),Commission Date,Date of Service as Chief Judge (begin),Date of Service as Chief Judge (end),Second Date of Service as Chief Judge (begin),Second Date of Service as Chief Judge (end),Retirement from Active Service,Date of Termination,Termination specific reason,Judge Identification Number,Court Name (2),Court Type (2),President name (2),Party Affiliation of President (2),Renominating President name (2),Party Affiliation of Renominating President (2),Nomination Date Senate Executive Journal (2),ABA Rating (2),Recess Appointment date (2),Vice last name (predecessor) (2),Vice first name (predecessor) (2),Authorization legislation (2),referral date (referral to Judicial Committee) (2),Report number (2),committee action (2),Committee action date (2),Hearings (2),Senate voice vote (2),Senate vote Ayes/Nays (2),Senate Vote Date (Confirmation Date) (2),Commission Date (2),Date of Service as Chief Judge (begin) (2),Date of Service as Chief Judge (end) (2),Second Date of Service as Chief Judge (begin) (2),Second Date of Service as Chief Judge (end) (2),Retirement from Active Service (2),Date of Termination (2),Termination specific reason (2),Judge Identification Number,Court Name (3),Court Type (3),President name (3),Party Affiliation of President (3),Renominating President name (3),Party Affiliation of Renominating President (3),Nomination Date Senate Executive Journal (3),ABA Rating (3),Recess Appointment date (3),Vice last name (predecessor) (3),Vice first name (predecessor) (3),Authorization legislation (3),referral date (referral to Judicial Committee) (3),Report number (3),committee action (3),Committee action date (3),Hearings (3),Senate voice vote (3),Senate vote Ayes/Nays (3),Senate Vote Date (Confirmation Date) (3),Commission Date (3),Date of Service as Chief Judge (begin) (3),Date of Service as Chief Judge (end) (3),Second Date of Service as Chief Judge (begin) (3),Second Date of Service as Chief Judge (end) (3),Retirement from Active Service (3),Date of Termination (3),Termination specific reason (3),Judge Identification Number,Court Name (4),Court Type (4),President name (4),Party Affiliation of President (4),Renominating President name (4),Party Affiliation of Renominating President (4),Nomination Date Senate Executive Journal (4),ABA Rating (4),Recess Appointment date (4),Vice last name (predecessor) (4),Vice first name (predecessor) (4),Authorization legislation (4),referral date (referral to Judicial Committee) (4),Report number (4),committee action (4),Committee action date (4),Hearings (4),Senate voice vote (4),Senate vote Ayes/Nays (4),Senate Vote Date (Confirmation Date) (4),Commission Date (4),Date of Service as Chief Judge (begin) (4),Date of Service as Chief Judge (end) (4),Second Date of Service as Chief Judge (begin) (4),Second Date of Service as Chief Judge (end) (4),Retirement from Active Service (4),Date of Termination (4),Termination specific reason (4),Judge Identification Number,Court Name (5),Court Type (5),President name (5),Party Affiliation of President (5),Renominating President name (5),Party Affiliation of Renominating President (5),Nomination Date Senate Executive Journal (5),ABA Rating (5),Recess Appointment date (5),Vice last name (predecessor) (5),Vice first name (predecessor) (5),Authorization legislation (5),referral date (referral to Judicial Committee) (5),Report number (5),committee action (5),Committee action date (5),Hearings (5),Senate voice vote (5),Senate vote Ayes/Nays (5),Senate Vote Date (Confirmation Date) (5),Commission Date (5),Date of Service as Chief Judge (begin) (5),Date of Service as Chief Judge (end) (5),Second Date of Service as Chief Judge (begin) (5),Second Date of Service as Chief Judge (end) (5),Retirement from Active Service (5),Date of Termination (5),Termination specific reason (5),Judge Identification Number,Court Name (6),Court Type (6),President name (6),Party Affiliation of President (6),Nomination Date Senate Executive Journal (6),Renominating President name (6),Party Affiliation of Renominating President (6),ABA Rating (6),Recess Appointment date (6),Vice last name (predecessor) (6),Vice first name (predecessor) (6),Authorization legislation (6),referral date (referral to Judicial Committee) (6),Report number (6),committee action (6),Committee action date (6),Hearings (6),Senate voice vote (6),Senate vote Ayes/Nays (6),Senate Vote Date (Confirmation Date) (6),Commission Date (6),Date of Service as Chief Judge (begin) (6),Date of Service as Chief Judge (end) (6),Second Date of Service as Chief Judge (begin) (6),Second Date of Service as Chief Judge (end) (6),Retirement from Active Service (6),Date of Termination (6),Termination specific reason (6),Name of School,Degree,Degree year,Name of School (2),Degree (2),Degree year (2),Name of School (3),Degree (3),Degree year (3),Name of School (4),Degree (4),Degree year (4),Name of School (5),Degree  (5),Degree year (5),Employment text field,Bankruptcy and Magistrate service
3563,Abrams,Leslie,Joyce, ,,,1974,Madison,WI, , , , , ,F,African American,3563,"U. S. District Court, Middle District of Georgia",USDC,Barack Obama,Democratic,,,03/11/2014,Qualified,,Sands,W. Louis, ,03/11/2014, ,Reported With Recommendation,06/19/2014,05/13/2014,No,100/0,11/18/2014,11/20/2014,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown University,B.A.,1997,Yale Law School,J.D.,2002,,,,,,,,,,"Law clerk, Hon. Marvin J. Garbis, U.S. District Court, District of Maryland, 2002-2003<BR>Private practice, Washington, D.C., 2003-2006, 2007-2010<BR>Private practice, Atlanta, Georgia, 2006-2007<BR>Assistant U.S. attorney, Northern District of Georgia, 2010-2014<BR>",
3419,Abrams,Ronnie, , ,,,1968,New York,NY, , , , , ,F,White,3419,"U. S. District Court, Southern District of New York",USDC,Barack Obama,Democratic,,,07/28/2011,Qualified,,Kaplan,Lewis A., ,07/28/2011, ,Reported With Recommendation,11/03/2011,10/04/2011,No,96/2,03/22/2012,03/23/2012,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cornell University,B.A.,1990,Yale Law School,J.D.,1993,,,,,,,,,,"Law clerk, Hon. Thomas P. Griesa, U.S. District Court, Southern District of New York, 1993-1994<BR>Private practice, New York City, 1994-1998, 2008-2012<BR>Assistant U.S. attorney, Southern District of New York, 1998-2008; acting chief, General Crimes Unit, 2004-2005; chief, General Crimes Unit, 2005-2007; deputy chief, Criminal Division, 2007-2008<BR>Lecturer-in-law, Columbia University School of Law, 2008-",
1,Abruzzo,Matthew,T., ,4,30,1889,Brooklyn,NY,5,28,1971,Potomac,MD,M,White,1,"U. S. District Court, Eastern District of New York",USDC,Franklin D. Roosevelt,Democratic,,,02/03/1936, ,,new, ,49 Stat. 659,02/03/1936, ,Reported With Recommendation,02/11/1936, ,Yes, ,02/12/1936,02/15/1936,,,,,02/15/1966,05/28/1971,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Law School,LL.B.,1910,,,,,,,,,,,,,"Private practice, Brooklyn, New York, 1910-1936",
2,Acheson,Marcus,Wilson, ,6,7,1828,Washington,PA,6,21,1906,Pittsburgh,PA,M,White,2,"U. S. District Court, Western District of Pennsylvania",USDC,Rutherford B. Hayes,Republican,,,01/06/1880, ,,Ketcham,Winthrop, ,01/07/1880, ,Reported With Recommendation,01/14/1880, ,Yes, ,01/14/1880,01/14/1880,,,,,,02/09/1891,Appointment to Another Judicial Position,2,U. S. Circuit Courts for the Third Circuit,USCC (1869),Benjamin Harrison,Republican,,,01/23/1891, ,,McKennan,William, ,01/24/1891, ,Reported With Recommendation,02/03/1891, ,Yes, ,02/03/1891,02/03/1891,,,,,,06/21/1906,Death,2,U. S. Court of Appeals for the Third Circuit,USCA,Assignment,Assignment,,,, ,,new, ,26 Stat. 826,, , ,, , , ,,06/16/1891,,,,,,06/21/1906,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington College (now Washington and Jefferson College),B.A.,1845,Read law, ,1852,,,,,,,,,,"Private practice, Pittsburgh, Pennsylvania, 1852-1880",
3,Acker,William,Marsh,Jr.,,,1927,Birmingham,AL, , , , , ,M,White,3,"U. S. District Court, Northern District of Alabama",USDC,Ronald Reagan,Republican,,,07/22/1982,Qualified,,McFadden,Frank H., ,07/22/1982, ,Reported With Recommendation,08/17/1982, ,Yes, ,08/18/1982,08/18/1982,,,,,05/31/1996,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Birmingham-Southern College,B.A.,1949,Yale Law School,LL.B.,1952,,,,,,,,,,"U.S. Army private first class, 1946-1947<BR>Private practice, Birmingham, Alabama, 1952-1982",
4,Ackerman,Harold,Arnold, ,2,15,1928,Newark,NJ,12,2,2009,West Orange,NJ,M,White,4,"U. S. District Court, District of New Jersey",USDC,Jimmy Carter,Democratic,,,09/28/1979,Well Qualified,,Barlow,George H., ,09/28/1979, ,Reported With Recommendation,10/30/1979, ,Yes, ,10/31/1979,11/02/1979,,,,,02/15/1994,12/02/2009,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rutgers School of Law -- Newark,LL.B.,1951,,,,,,,,,,,,,"Private practice, New Jersey, 1951-1954<BR>Judge, Compensation Court of the State of New Jersey, 1955-1965<BR>Judge, Union County [New Jersey] District Court, 1965-1970<BR>Judge, Union County [New Jersey] Court, 1970-1973<BR>Judge, Superior Court of New Jersey, 1973-1979; Law Division, 1973-1975; Chancery Division, General Equity, 1975-1979",
5,Ackerman,James,Waldo, ,1,1,1926,Jacksonville,FL,11,23,1984,Springfield,IL,M,White,5,"U. S. District Court, Southern District of Illinois",USDC,Gerald Ford,Republican,,,06/18/1976,Well Qualified,,Wood Jr.,Harlington, ,06/18/1976, ,Reported With Recommendation,06/30/1976, ,Yes, ,07/02/1976,07/02/1976,,,,,,03/31/1979,Reassignment,5,"U. S. District Court, Central District of Illinois",USDC,Reassignment,Reassignment,,,, ,,new, ,93 Stat. 6,, , ,, , , ,,03/31/1979,1982,1984,,,,11/23/1984,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marquette University,B.S.,1947,Marquette University Law School,J.D.,1949,,,,,,,,,,"Private practice, Sangamon County, Illinois, 1949-1952<BR>U.S. Navy, 1944-1946, 1952-1954<BR>Assistant state`s attorney, Sangamon County, Illinois, 1954-1956<BR>State`s attorney, Sangamon County, Illinois, 1956-1960<BR>Private practice, Sangamon County, Illinois, 1960-1971<BR>Corporation counsel, Springfield, Illinois, 1961-1962<BR>Assistant treasurer, State of Illinois, 1963-1964<BR>Deputy attorney general, State of Illinois, 1968-1971<BR>Judge, Illinois Circuit Court, Seventh Judicial Circuit, 1971-1976",
6,Acosta,Raymond,L., ,5,31,1925,New York,NY,12,23,2014,Chapin,SC,M,Hispanic,6,"U. S. District Court, District of Puerto Rico",USDC,Ronald Reagan,Republican,,,09/09/1982,Qualified,,Toledo,Jose V., ,09/09/1982, ,Reported With Recommendation,09/28/1982, ,Yes, ,09/29/1982,09/30/1982,,,,,06/01/1994,12/23/2014,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rutgers School of Law -- Newark,J.D.,1951,,,,,,,,,,,,,"Private practice, Hackensack, New Jersey, 1953-1954<BR>Special agent, Federal Bureau of Investigation, San Diego, California, Washington, D.C., and Miami, Florida, 1954-1958<BR>Assistant U.S. attorney, District of Puerto Rico, 1958-1961<BR>Private practice, San Juan, Puerto Rico, 1962-1980<BR>U.S. attorney for the District of Puerto Rico, 1980-1982",
7,Adair,J[ackson],Leroy, ,2,23,1887,Clayton,IL,1,19,1956, , ,M,White,7,"U. S. District Court, Southern District of Illinois",USDC,Franklin D. Roosevelt,Democratic,,,03/24/1937, ,,Major,J. Earl, ,03/24/1937, ,Reported With Recommendation,04/19/1937, ,Yes, ,04/20/1937,04/27/1937,,,,,,01/19/1956,Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Michigan Law School,LL.B.,1911,,,,,,,,,,,,,"Private practice, Muskogee, Oklahoma, 1912-1914<BR>City attorney, Quincy, Illinois, 1915-1916<BR>State`s attorney, Adams County, Illinois, 1916-1920, 1924-1928<BR>Private practice, Adams County, Illinois, 1920-1924<BR>State senator, Illinois, 1928-1932<BR>U.S. representative from Illinois, 1933-1937",
8,Adams,Arlin,Marvin, ,4,16,1921,Philadelphia,PA,12,22,2015,Philadelphia,PA,M,White,8,U. S. Court of Appeals for the Third Circuit,USCA,Richard M. Nixon,Republican,,,09/22/1969,Exceptionally Well Qualified,,Kalodner,Harry Ellis, ,09/22/1969, ,Reported With Recommendation,10/01/1969, ,Yes, ,10/01/1969,10/02/1969,,,,,,01/02/1987,Retirement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temple University,B.S.,1941,University of Pennsylvania Law School,LL.B.,1947,Temple University,M.A.,1950,,,,,,,"Private practice, Philadelphia, Pennsylvania, 1947-1969<BR>Faculty, American Institute of Banking, 1949-1952<BR>Faculty, University of Pennsylvania, 1952-1956<BR>Secretary of public welfare, Commonwealth of Pennsylvania, 1963-1966<BR>Private practice, Philadelphia, Pennsylvania, 1987-",
